Word,Definition,Example
abase,"to humiliate, to degrade","Though Brutus, a twice held back bully, tried his best to abase Travis and the kids he played with, nothing he said seemed to matter to any of them."
abate,to reduce or to lessen,"The rain poured down like a broken dyke for a long while, then as the clouds began to move on, it slowly abated."
abdicate,"to give up a position, usually one of great power or authority","When King John realized that his enemies would ultimately win, he abdicated his throne and hid himself away."
abduct,"to kidnap, take by force","During their holy festival, the king's ancient enemies abducted the beautiful princess Cristiana from her castle chamber."
aberration,something that differs from what's normal,"The doctor's ill-tempered behavior was thought to be nothing more than an aberration, that is until it continued for a full calendar year."
abet,"to aid, assist, encourage",The spy escaped only because he had a secret friend on the inside to aid and abet his efforts.
abhor,"to hate, detest","Because he wound up tripping himself constantly when he tried to play touch football, Ray began to abhor his favorite sport."
abide,"a) to put up with, b) to remain","a) Normally Chuck would never abide such conduct but decided to this time because of the strain the girls have been under recently. b) Despite the beating they've taken from the weather throughout the ages, the grandest of all the mountain chains, the Rockies, yet abide."
abject,"wretched, pitiful","After losing all her money, Martha fell into abject poverty, having nothing left of value."
abjure,"to reject, renounce","To prove his honesty, the president abjured the evil policies of his wicked predecessor."
abnegation,denial of comfort to oneself,"The zealot slept only on the floor, took only cold showers, and followed religiously many other practices of abnegation and self-denial."
abort,to give up on a half-finished project or effort,"After they ran out of food, the men attempting to jog around the country had to abort their task and go home."
abridge,"a) to cut down, shorten, b) shortened","a) The publisher thought the new compendium was much too long and abridged it. b) War and Peace is such an epic tale, even the abridged version is long and detailed."
abrogate,"to abolish, usually by authority",The Constitution assures that the United States government cannot abrogate our rights.
abscond,to sneak away and hide,"In the confusion, James Bond absconded into the night with the top secret codes."
absolution,"freedom from blame, guilt, sin","Once all the real facts were in, the prudent jury granted Mr. Clyde Deb complete and total absolution, rendering the verdict of not guilty."
abstain,to freely choose not to commit an action,"Everyone demanded Angus put on the kilt, but he did not want to, so he abstained."
abstruse,hard to comprehend,"Everyone else in the classroom understood geometry and algebra with ease, but poor John found the entire subject most abstruse."
accede,to agree,"Surprisingly, the coach acceded to the players' request to miss practice to go to a party."
accentuate,"to stress, highlight","Motivational speakers all agree that success in life means accentuating the positives while learning from, then dismissing, the negatives."
accessible,"obtainable, reachable","After studying from Vocabulary Power with conative precision and getting a great score on his SAT, Kaden realized that his greatest academic goal was then accessible."
acclaim,high praise,Greg's excellent short story won great acclaim from the literary community.
accolade,"high praise, special distinction",Everyone offered accolades to Samson after he defeated his enemies in battle.
accommodating,"helpful, obliging","Though the apartment was not big enough for everyone to be comfortable, the good friends were very considerate and accommodating to each other."
accord,an agreement,"After months of negotiating, the former enemies struck an accord that benefited them both."
accost,to confront verbally,"Though Isla was normally quite verbose and aggressive, when the clumsy waiter spilled soup on her for the third time, she didn't accost him in the least."
accretion,slow growth in size or amount,Giant stalactites are formed in the roofs of caves and caverns by the accretion of dripping mineral-laden water.
acerbic,"biting, bitter in tone or taste",Jack became intensely acerbic and began to cruelly and vindictively make fun of all his buddies.
acquiesce,to agree without protesting,"Though Mr. Cole wanted to stay inside and work in his office, he acquiesced to his wife's demands to come on out and eat it while it's hot."
acrimony,"bitterness, discord",Acrimony enveloped the friendship of Lou and Terry after they both fell for Alvin.
acumen,keen insight,"Because of her linguistic acumen, Lois the loquacious was able to create in minutes manners of expression that took other students many hours."
acute,"a) sharp, severe, b) having keen insight","a) Adam could not walk because the pain in his left foot was so acute. b) Because she was so acute, Lorraine quickly discerned the magician's saw-the-woman-in-half magic trick."
adamant,"impervious, immovable, unyielding","Though public pressure was intense and the across-the-aisle foe relentless, Obama remained adamant about his latest proposal."
adept,extremely skilled,"Tarzan was very adept at jumping from tree to tree, just like Cheetah, his pet chimp."
adhere,"a) to stick to something, b) to follow devoutly","a) We adhered to our plan, for desperation had set in, robbing us of our waywardness. b) Henry adhered to the dictates of his religion without any question or shade of doubt."
admonish,"to caution, criticize, reprove",Joe's mother admonished him not to ruin his appetite by eating dessert before dinner.
adorn,to decorate,"We adorned the tree with many colorful ornaments, ribbons, bows, and bells."
